id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
87;Alimentos y bebidas;Huevos colorados;Super huevo;Envase 1/2 docena;292;69;89,9;112;112,186;129;129;9,251096329;8,9;110,13;0,019;0,0825
88;Cuidado personal;Jabón de tocador;Astral plata;Unidad 125 grs.;678;34,9;37;47;49,268;77,19;77,19;6,993042289;9,9;49,75;-0,01;0,1419
89;Cuidado personal;Jabón de tocador;Palmolive;Unidad 125 grs.;196;24;24;33;36,423;51;53;8,503572069;11,1;36,298;0,003;0,2335
90;Cuidado personal;Jabón de tocador;Rexona;Unidad 125 grs.;368;33;33;63;61,588;75;75;10,40612153;12;63,953;-0,037;0,169
91;Limpieza del hogar;Jabón en polvo máquina;Drive;Paquete 800 grs.;136;121;125;169;155,86;178,53;178,53;16,02444109;27;155,86;0;0,1028
92;Limpieza del hogar;Jabón en polvo máquina;Nevex;Paquete 800 grs.;608;139,3;171,9;197;193,746;235;238;13,63721476;25;193,295;0,002;0,0704
93;Limpieza del hogar;Jabón en polvo máquina;Skip - Paquete azul;Paquete 800 grs.;570;77;99;151;150,812;175,51;183;12,05301923;12,9;151,362;-0,004;0,0799
94;Limpieza del hogar;Jabón para ropa en barra;Bull Dog;Unidad 300 grs.;438;35,9;42;87;79,312;99;110;16,62185762;8;77,253;0,027;0,2096
95;Limpieza del hogar;Jabón para ropa en barra;Nevex;Unidad 200 grs.;324;35;42,5;58;58,341;68,05;75;4,575097944;3,9;57,207;0,02;0,0784
96;Limpieza del hogar;Jabón para ropa en barra;Primor;Unidad 200 grs.;484;19,9;30;36;37,432;49;50;3,906343201;4;38,925;-0,038;0,1044
97;Alimentos y bebidas;Jamón cocido no artesanal;Cattivelli;1 kg.;31;510;550;690;679,866;980;980;74,31346973;34;683,024;-0,005;0,1093
98;Alimentos y bebidas;Jamón cocido no artesanal;Ottonello;1 kg.;197;577;577;680;665,905;750;820;34,68890441;30;664,533;0,002;0,0521
100;Alimentos y bebidas;Leonesa;Ottonello;1 kg.;54;230;331;460;452,517;590;590;35,26576405;0;456,695;-0,009;0,0779
101;Alimentos y bebidas;Leonesa;Schneck;1 kg.;225;444;482,64;680;671,656;770;770;54,93054043;55;652,54;0,029;0,0818
102;Alimentos y bebidas;Manteca;Calcar;Envase 200 grs.;22;61;61;69;69,036;90;90;6,033014973;8;69,036;0;0,0874
103;Alimentos y bebidas;Manteca;Conaprole sin sal;Envase 200 grs.;563;75;92;105;106,471;122;122;10,01973792;20;105,032;0,014;0,0941
104;Alimentos y bebidas;Manteca;Kasdorf;Envase 200 grs.;238;85;85;99;100,518;114;115;5,367163835;3;100,076;0,004;0,0534
105;Alimentos y bebidas;Margarina;Doriana nueva;Envase 250 grs.;110;52;55;82;83,27;120;120;11,6525301;14,1;83,27;0;0,1399
109;Alimentos y bebidas;Mayonesa común;Hellmans;Envase 500 grs.;402;95;112;184;172,241;193;198;20,50030083;19;172,722;-0,003;0,119
110;Alimentos y bebidas;Mayonesa común;Uruguay;Envase 500 grs.;409;75;79;99;98,442;125;126;11,13851954;13;96,609;0,019;0,1131
111;Alimentos y bebidas;Mermelada de durazno;Dulciora;Envase 500 grs.;10;52;52;55;55,36;60;60;2,306381983;1,7;55,36;0;0,0417
112;Alimentos y bebidas;Mermelada de durazno;El Hogar;Envase 500 grs.;125;47;60;89;81,721;135;135;14,24859061;20;81,721;0;0,1744
113;Alimentos y bebidas;Mermelada de durazno;Los Nietitos;Envase 500 grs.;458;95;107;125;123,726;135;146;6,863862038;7;120,653;0,025;0,0555
114;Alimentos y bebidas;Nalga vacuna;Con Hueso - Sin Marca;1 kg.;27;339;339;472;433,651;489;489;51,56183121;73;432,519;0,003;0,1189
115;Alimentos y bebidas;Nalga vacuna;Sin Hueso - Sin Marca;1 kg.;194;320;369;429;425,532;549;620;42,61617302;43;420,65;0,012;0,1001
116;Alimentos y bebidas;Paleta vacuna;Con Hueso - Sin Marca;1 kg.;152;279;297;359;358,447;393;406;19,24799564;17,99;355,867;0,007;0,0537
117;Alimentos y bebidas;Paleta vacuna;Sin Hueso - Sin Marca;1 kg.;209;289;289;355;344,543;435;485;38,17456143;57;342,148;0,007;0,1108
118;Alimentos y bebidas;Pan de molde lacteado;Los Sorchantes;Paquete 330 grs.;396;92;99;122;120,597;145;147;7,299958059;4;123,526;-0,024;0,0605
119;Alimentos y bebidas;Pan de molde lacteado;Bimbo;Paquete 330 grs.;283;59;90;130;130,304;155;162;11,21415571;12;129,758;0,004;0,0861
120;Alimentos y bebidas;Pan de molde lacteado;Pan Catalán;Paquete 330 grs.;91;51;51;76;77,56;95;95;9,515476871;2;77,56;0;0,1227
121;Alimentos y bebidas;Pan flauta;Sin marca;Unidad aprox215 grs.;110;42;42;87;82,326;97;97;12,95019592;0;82,237;0,001;0,1573
122;Cuidado personal;Papel higiénico hoja simple;Elite;4 rollos de 30 mts.;228;46,9;49,9;99;105,292;141;147;27,134967;58,1;105,333;0;0,2577
123;Cuidado personal;Papel higiénico hoja simple;Higienol Export;4 rollos de 30 mts.;160;46;46;67;64,731;77;80;7,396879213;10;64,731;0;0,1143
